Q407166	Somatostatin	Q24778427	Somatostatin
Q21109487	H2B clustered histone 4	Q1416887	Histone H2B
Q21109487	H2B clustered histone 4	Q24721200	Histone-fold
Q21109488	RNA polymerase II subunit L	Q24745924	DNA-directed RNA polymerase, subunit N/Rpb10
Q21109488	RNA polymerase II subunit L	Q24788202	RNA polymerase subunit RPB10
Q21109489	Pleckstrin homology domain containing N1	Q24786013	PH-like domain superfamily
Q21109490	Coiled-coil domain containing 184	Q24774990	Protein of unknown function DUF4677
Q21109503	Mirror-image polydactyly 1	Q24772137	Mirror-image polydactyly gene 1 protein
Q21109504	BCL2 like 2	Q554446	Bcl-2 family
Q21109504	BCL2 like 2	Q24741932	Apoptosis regulator, Bcl-W
Q21109504	BCL2 like 2	Q41797930	Blc2-like superfamily
Q21109507	Itchy E3 ubiquitin protein ligase	Q24781918	E3 ubiquitin-protein ligase, SMURF1 type
Q21109507	Itchy E3 ubiquitin protein ligase	Q41797043	C2 domain superfamily
Q21109507	Itchy E3 ubiquitin protein ligase	Q41797130	HECT, E3 ligase catalytic domain
Q21109507	Itchy E3 ubiquitin protein ligase	Q41797163	WW domain superfamily
Q21109508	Protein phosphatase 1 regulatory subunit 13B	Q24725964	Ubiquitin-like domain superfamily
Q21109508	Protein phosphatase 1 regulatory subunit 13B	Q24780236	Apoptosis-stimulating of p53 protein 1
Q21109508	Protein phosphatase 1 regulatory subunit 13B	Q41797170	SH3-like domain superfamily
Q21109508	Protein phosphatase 1 regulatory subunit 13B	Q41797869	Ankyrin repeat-containing domain superfamily
Q21109509	Heterogeneous nuclear ribonucleoprotein U like 1	Q24722342	Concanavalin A-like lectin/glucanase domain superfamily
Q21109509	Heterogeneous nuclear ribonucleoprotein U like 1	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21109509	Heterogeneous nuclear ribonucleoprotein U like 1	Q24786165	Heterogeneous nuclear ribonucleoprotein U-like protein 1
Q21109509	Heterogeneous nuclear ribonucleoprotein U like 1	Q41797475	SAP domain superfamily
Q21109510	TBC1 domain family member 22B	Q41797118	Rab-GTPase-TBC domain superfamily
Q21109512	Beta-1,3-galactosyltransferase 2	Q24725547	Glycosyl transferase, family 31
Q21109514	Beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	Q24725547	Glycosyl transferase, family 31
Q21109519	Beta-1,3-glucuronyltransferase 3	Q24721164	Glycosyl transferase, family 43
Q21109519	Beta-1,3-glucuronyltransferase 3	Q24774250	Nucleotide-diphospho-sugar transferases
Q21109520	Solute carrier family 4 member 2	Q24771501	Phosphotransferase/anion transporter
Q21109520	Solute carrier family 4 member 2	Q24774872	Anion exchange protein 2
Q21109521	CD1a molecule	Q24783841	MHC classes I/II-like antigen recognition protein
Q21109521	CD1a molecule	Q24787648	Immunoglobulin-like fold
Q21109521	CD1a molecule	Q41797304	Immunoglobulin-like domain superfamily
Q21109521	CD1a molecule	Q41798146	MHC class I-like antigen recognition-like superfamily
Q21109523	CD1b molecule	Q24783841	MHC classes I/II-like antigen recognition protein
Q21109523	CD1b molecule	Q24787648	Immunoglobulin-like fold
Q21109523	CD1b molecule	Q41797304	Immunoglobulin-like domain superfamily
Q21109523	CD1b molecule	Q41798146	MHC class I-like antigen recognition-like superfamily
Q21109524	Solute carrier family 4 member 3	Q24727361	Anion exchange protein 3
Q21109524	Solute carrier family 4 member 3	Q24771501	Phosphotransferase/anion transporter
Q21109536	Beta 3-glucosyltransferase	Q24745180	Fringe-like
Q21109536	Beta 3-glucosyltransferase	Q24774250	Nucleotide-diphospho-sugar transferases
Q21109540	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	Q24725547	Glycosyl transferase, family 31
Q21109542	Beta-1,3-N-acetylgalactosaminyltransferase 2	Q24725547	Glycosyl transferase, family 31
Q21109544	Solute carrier family 4 member 9	Q24766752	Sodium bicarbonate cotransporter
Q21109544	Solute carrier family 4 member 9	Q24771501	Phosphotransferase/anion transporter
Q21109545	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	Q24725547	Glycosyl transferase, family 31
Q21109546	Beta-1,3-glucuronyltransferase 2	Q24721164	Glycosyl transferase, family 43
Q21109546	Beta-1,3-glucuronyltransferase 2	Q24774250	Nucleotide-diphospho-sugar transferases
Q21109547	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	Q24725547	Glycosyl transferase, family 31
Q21109550	Beta-1,3-glucuronyltransferase 1	Q24721164	Glycosyl transferase, family 43
Q21109550	Beta-1,3-glucuronyltransferase 1	Q24774250	Nucleotide-diphospho-sugar transferases
Q21106557	RNA binding fox-1 homolog 1	Q54450559	Nucleotide-binding alpha-beta plait domain superfamily
Q21106560	Arginine-glutamic acid dipeptide repeats	Q24769639	Homeobox-like domain superfamily
Q21106560	Arginine-glutamic acid dipeptide repeats	Q24773855	Atrophin-like
Q21106561	Telomere maintenance 2	Q24780424	Armadillo-type fold
Q21106561	Telomere maintenance 2	Q54444709	TEL2, conserved domain superfamily
Q21106562	ATP23 metallopeptidase and ATP synthase assembly factor homolog	Q24781848	Peptidase M76, ATP23
Q21106563	C-type lectin domain family 18 member A	Q24721686	Cysteine-rich  secretory protein, allergen V5/Tpx-1-related
Q21106563	C-type lectin domain family 18 member A	Q24781446	C-type lectin fold
Q21106563	C-type lectin domain family 18 member A	Q24785714	C-type lectin-like/link domain superfamily
Q21106563	C-type lectin domain family 18 member A	Q41797090	CAP superfamily
Q21106566	GABA type A receptor-associated protein	Q60147	GABAA receptor
Q21106566	GABA type A receptor-associated protein	Q24725964	Ubiquitin-like domain superfamily
Q21106566	GABA type A receptor-associated protein	Q24777860	Autophagy protein Atg8 ubiquitin-like
Q21106567	Phenylalanyl-tRNA synthetase 2, mitochondrial	Q24787726	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial
Q21106567	Phenylalanyl-tRNA synthetase 2, mitochondrial	Q41797790	Ferrodoxin-fold anticodon-binding domain superfamily
Q21106568	Cystatin SA	Q24788025	Cystatin
Q21106569	Keratin associated protein 2-3	Q24780786	Keratin-associated protein
Q21106570	Serine peptidase inhibitor Kazal type 2	Q41797195	Kazal domain superfamily
Q21106576	GATA binding protein 2	Q24768526	Zinc finger, NHR/GATA-type
Q21106576	GATA binding protein 2	Q24772620	Transcription factor GATA-2
Q21106578	Eukaryotic translation elongation factor 1 delta	Q24773736	Translation elongation factor EF1B/ribosomal protein S6
Q21106578	Eukaryotic translation elongation factor 1 delta	Q41797343	Translation elongation factor eEF-1beta-like superfamily
Q21106581	Keratin associated protein 10-11	Q24780786	Keratin-associated protein
Q21106584	FKBP prolyl isomerase 1B	Q24739313	Peptidyl-prolyl cis-trans isomerase, FKBP-type
Q21106585	ADAMTS like 3	Q24782924	ADAMTS/ADAMTS-like
Q21106585	ADAMTS like 3	Q24787648	Immunoglobulin-like fold
Q21106585	ADAMTS like 3	Q41797304	Immunoglobulin-like domain superfamily
Q21106585	ADAMTS like 3	Q41797497	Thrombospondin type-1 (TSP1) repeat superfamily
Q21106586	Putative golgin subfamily A member 8D	Q24787081	Golgin subfamily A
Q21106590	Sequestosome 1	Q24722600	UBA-like superfamily
Q21106591	NBR1 autophagy cargo receptor	Q24722600	UBA-like superfamily
Q21106591	NBR1 autophagy cargo receptor	Q24722894	Next to BRCA1 gene 1 protein
Q21106591	NBR1 autophagy cargo receptor	Q24787648	Immunoglobulin-like fold
Q21106595	Transcription elongation factor A2	Q24743760	Transcription elongation factor, TFIIS
Q21106595	Transcription elongation factor A2	Q41796864	TFIIS/LEDGF domain superfamily
Q21106595	Transcription elongation factor A2	Q41797677	Transcription elongation factor S-II, central domain superfamily
Q21106599	Protein-glucosylgalactosylhydroxylysine glucosidase	Q24768846	Six-hairpin glycosidase superfamily
Q21106599	Protein-glucosylgalactosylhydroxylysine glucosidase	Q54450327	Six-hairpin glycosidase-like superfamily
Q21106600	Late cornified envelope 3C	Q24744899	Late cornified envelope protein
Q21106601	Late cornified envelope 3E	Q24744899	Late cornified envelope protein
Q21106602	Late cornified envelope 1B	Q24744899	Late cornified envelope protein
Q21106603	Late cornified envelope 4A	Q24744899	Late cornified envelope protein
Q21106604	Late cornified envelope 2D	Q24744899	Late cornified envelope protein
Q21106605	Autophagy related 9B	Q24722905	Autophagy-related protein 9
Q21106605	Autophagy related 9B	Q86997219	Autophagy-related Phagophore-formation Transporter
Q21106607	Keratin associated protein 5-6	Q24780786	Keratin-associated protein
Q21106610	ADAMTS like 4	Q41797497	Thrombospondin type-1 (TSP1) repeat superfamily
Q21106611	ADAMTS like 5	Q24723575	Tissue inhibitor of metalloproteinases-like, OB-fold
Q21106611	ADAMTS like 5	Q24782924	ADAMTS/ADAMTS-like
Q21106611	ADAMTS like 5	Q41797497	Thrombospondin type-1 (TSP1) repeat superfamily
Q21106620	Autophagy related 9A	Q24722905	Autophagy-related protein 9
Q21106620	Autophagy related 9A	Q69533762	Transporters of unknown biochemical mechanism
Q21106620	Autophagy related 9A	Q86997219	Autophagy-related Phagophore-formation Transporter
Q21106622	ADAMTS like 2	Q24782924	ADAMTS/ADAMTS-like
Q21106622	ADAMTS like 2	Q41797497	Thrombospondin type-1 (TSP1) repeat superfamily
Q21106623	Tripartite motif containing 42	Q24787648	Immunoglobulin-like fold
Q21106623	Tripartite motif containing 42	Q41797245	Fibronectin type III superfamily
Q21106624	ADAMTS like 1	Q24782924	ADAMTS/ADAMTS-like
Q21106624	ADAMTS like 1	Q24787648	Immunoglobulin-like fold
Q21106624	ADAMTS like 1	Q41797304	Immunoglobulin-like domain superfamily
Q21106624	ADAMTS like 1	Q41797497	Thrombospondin type-1 (TSP1) repeat superfamily
Q21106625	N-acetyltransferase domain containing 1	Q24771060	Acyl-CoA N-acyltransferase
Q21106626	Putative germ cell-less protein-like 1-like	Q24783694	SKP1/BTB/POZ domain superfamily
Q21106628	Galectin 14	Q24722342	Concanavalin A-like lectin/glucanase domain superfamily
Q21106628	Galectin 14	Q24782719	Galectin-14
Q21106629	RAB2B, member RAS oncogene family	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21106629	RAB2B, member RAS oncogene family	Q24781762	Small GTPase
Q21106630	Leucine rich repeat containing 29	Q24781235	Leucine-rich repeat domain superfamily
Q21106631	Sushi domain containing 6	Q41797125	Sushi/SCR/CCP superfamily
Q21106632	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	Q24723782	SWI/SNF complex subunit SMARCC1
Q21106632	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	Q24769639	Homeobox-like domain superfamily
Q21106632	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	Q41797502	Winged helix-like DNA-binding domain superfamily
Q21106632	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	Q41797533	BRCT domain superfamily
Q21106633	F-box and WD repeat domain containing 5	Q24784804	WD40/YVTN repeat-like-containing domain superfamily
Q21106633	F-box and WD repeat domain containing 5	Q41797184	F-box-like domain superfamily
Q21106633	F-box and WD repeat domain containing 5	Q41797440	WD40-repeat-containing domain superfamily
Q21106634	Olfactomedin 3	Q24773008	Quinoprotein amine dehydrogenase, beta chain-like
Q21106634	Olfactomedin 3	Q24787681	Noelin-3
Q21106635	Cytochrome P450 family 2 subfamily S member 1	Q24769420	Cytochrome P450, E-class, group I, CYP2A-like
Q21106635	Cytochrome P450 family 2 subfamily S member 1	Q41797511	Cytochrome P450 superfamily
Q21108719	Heat shock protein family A (Hsp70) member 13	Q24780306	Heat shock protein 70 family
Q21108726	Homeobox A2	Q24769639	Homeobox-like domain superfamily
Q21108727	Trafficking protein particle complex 6A	Q24722418	NO signalling/Golgi transport ligand-binding domain superfamily
Q21108727	Trafficking protein particle complex 6A	Q54460607	TRAPP complex, Trs33 subunit
Q21108730	Spi-1 proto-oncogene	Q41797502	Winged helix-like DNA-binding domain superfamily
Q21108730	Spi-1 proto-oncogene	Q41797505	Winged helix DNA-binding domain superfamily
Q21108736	Homeobox A5	Q24769639	Homeobox-like domain superfamily
Q21108736	Homeobox A5	Q24784284	Homeobox protein, antennapedia type
Q21108738	Homeobox A10	Q24769639	Homeobox-like domain superfamily
Q21108739	Homeobox A6	Q24769639	Homeobox-like domain superfamily
Q21108739	Homeobox A6	Q24784284	Homeobox protein, antennapedia type
Q21108742	Homeobox A11	Q24769639	Homeobox-like domain superfamily
Q21108744	Homeobox A13	Q24769639	Homeobox-like domain superfamily
Q21108745	LIM zinc finger domain containing 1	Q24719755	LIM and senescent cell antigen-like-containing domain protein 1
Q21108746	Homeobox A4	Q24769639	Homeobox-like domain superfamily
Q21108746	Homeobox A4	Q24784284	Homeobox protein, antennapedia type
Q21108747	Keratin 81	Q24773036	Keratin, type II
Q21108748	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B	Q423042	membrane proteins
Q21108748	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B	Q24727188	Glycosyltransferase family 18
Q21108749	Ligand of numb-protein X 2	Q24786519	Zinc finger, RING/FYVE/PHD-type
Q21108749	Ligand of numb-protein X 2	Q41797172	PDZ superfamily
Q21108751	NEDD4 binding protein 2 like 2	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21108751	NEDD4 binding protein 2 like 2	Q24773214	NEDD4-binding protein 2-like 2
Q21108752	SPARC related modular calcium binding 1	Q24742069	EF-hand domain pair
Q21108752	SPARC related modular calcium binding 1	Q41797195	Kazal domain superfamily
Q21108752	SPARC related modular calcium binding 1	Q41797953	Thyroglobulin type-1 superfamily
Q21108753	PDZ and LIM domain 7	Q41797172	PDZ superfamily
Q21108757	Galectin 13	Q24722342	Concanavalin A-like lectin/glucanase domain superfamily
Q21108757	Galectin 13	Q24779453	Galectin-13
Q21108758	Zinc finger and BTB domain containing 32	Q24783694	SKP1/BTB/POZ domain superfamily
Q21108758	Zinc finger and BTB domain containing 32	Q41797357	Zinc finger C2H2 superfamily
Q21108761	Eukaryotic translation initiation factor 4 gamma 3	Q24780424	Armadillo-type fold
Q21108761	Eukaryotic translation initiation factor 4 gamma 3	Q43921660	Eukaryotic translation initiation factor 4 gamma 3
Q21108761	Eukaryotic translation initiation factor 4 gamma 3	Q54452430	MIF4G-like domain superfamily
Q21108764	Leucine rich pentatricopeptide repeat containing	Q24724527	Tetratricopeptide-like helical domain superfamily
Q21108764	Leucine rich pentatricopeptide repeat containing	Q41796838	Leucine-rich PPR motif-containing protein
Q21108767	Inhibin subunit beta B	Q24783539	Cystine-knot cytokine
Q21108767	Inhibin subunit beta B	Q24786906	Inhibin, beta B subunit
Q21108768	Inhibin subunit beta C	Q24766643	Inhibin, beta C subunit
Q21108768	Inhibin subunit beta C	Q24783539	Cystine-knot cytokine
Q21108769	Inhibin subunit beta E	Q24766643	Inhibin, beta C subunit
Q21108769	Inhibin subunit beta E	Q24783539	Cystine-knot cytokine
Q21108770	Junctional adhesion molecule 2	Q24787648	Immunoglobulin-like fold
Q21108770	Junctional adhesion molecule 2	Q41797304	Immunoglobulin-like domain superfamily
Q21108774	Junction adhesion molecule like	Q24785590	Junctional adhesion molecule-like
Q21108774	Junction adhesion molecule like	Q24787648	Immunoglobulin-like fold
Q21108774	Junction adhesion molecule like	Q41797304	Immunoglobulin-like domain superfamily
Q21108777	Junctional adhesion molecule 3	Q24787648	Immunoglobulin-like fold
Q21108777	Junctional adhesion molecule 3	Q41797304	Immunoglobulin-like domain superfamily
Q21108779	F11 receptor	Q24787648	Immunoglobulin-like fold
Q21108779	F11 receptor	Q41797304	Immunoglobulin-like domain superfamily
Q21108780	Kazal type serine peptidase inhibitor domain 1	Q24722567	Growth factor receptor cysteine-rich domain superfamily
Q21108780	Kazal type serine peptidase inhibitor domain 1	Q24741227	Insulin-like growth factor binding protein-related protein (IGFBP-rP), MAC25
Q21108780	Kazal type serine peptidase inhibitor domain 1	Q24787648	Immunoglobulin-like fold
Q21108780	Kazal type serine peptidase inhibitor domain 1	Q41797195	Kazal domain superfamily
Q21108780	Kazal type serine peptidase inhibitor domain 1	Q41797304	Immunoglobulin-like domain superfamily
Q21108785	Potassium voltage-gated channel subfamily Q member 4	Q24780560	Potassium channel, voltage dependent, KCNQ4
Q21108785	Potassium voltage-gated channel subfamily Q member 4	Q74805923	KCNQ potassium channel
Q21108786	Potassium channel regulator	Q24783694	SKP1/BTB/POZ domain superfamily
Q21108787	Potassium voltage-gated channel modifier subfamily S member 1	Q14594609	voltage-gated potassium channel complex
Q21108787	Potassium voltage-gated channel modifier subfamily S member 1	Q24724133	Potassium channel, voltage dependent, Kv9
Q21108787	Potassium voltage-gated channel modifier subfamily S member 1	Q24783694	SKP1/BTB/POZ domain superfamily
Q21108787	Potassium voltage-gated channel modifier subfamily S member 1	Q54444446	Voltage-dependent channel domain superfamily
Q21108789	Potassium voltage-gated channel subfamily Q member 5	Q24787136	Potassium channel, voltage dependent, KCNQ
Q21108791	Kinesin family member 3C	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21108791	Kinesin family member 3C	Q41796748	Kinesin-like protein
Q21108793	Kinesin family member 4A	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21108793	Kinesin family member 4A	Q41796748	Kinesin-like protein
Q21108793	Kinesin family member 4A	Q41798053	Kinesin motor domain superfamily
Q21108794	Kinesin family member 4B	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21108794	Kinesin family member 4B	Q41796748	Kinesin-like protein
Q21108794	Kinesin family member 4B	Q41798053	Kinesin motor domain superfamily
Q21108795	Ras homolog family member T1	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21108795	Ras homolog family member T1	Q24742069	EF-hand domain pair
Q21108795	Ras homolog family member T1	Q24769073	Mitochondrial Rho GTPase
Q21108797	Kinesin family member 2B	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21108797	Kinesin family member 2B	Q41796748	Kinesin-like protein
Q21108797	Kinesin family member 2B	Q41798053	Kinesin motor domain superfamily
Q21108798	Kinesin family member 2C	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21108798	Kinesin family member 2C	Q41796748	Kinesin-like protein
Q21108798	Kinesin family member 2C	Q41798053	Kinesin motor domain superfamily
Q21108801	RAB11 family interacting protein 5	Q41797043	C2 domain superfamily
Q21108801	RAB11 family interacting protein 5	Q41798325	FIP-RBD, C-terminal domain superfamily
Q21108801	RAB11 family interacting protein 5	Q54460333	Rab11-family interacting protein class I
Q21108802	Killer cell lectin like receptor G2	Q24781446	C-type lectin fold
Q21108802	Killer cell lectin like receptor G2	Q24785714	C-type lectin-like/link domain superfamily
Q21108804	Killer cell lectin like receptor F2	Q24781446	C-type lectin fold
Q21108804	Killer cell lectin like receptor F2	Q24785714	C-type lectin-like/link domain superfamily
Q21108810	Solute carrier family 25 member 30	Q425007	Mitochondrial carrier
Q21108810	Solute carrier family 25 member 30	Q24720289	Mitochondrial carrier UCP-like
Q21108810	Solute carrier family 25 member 30	Q24778220	Mitochondrial carrier domain superfamily
Q21108811	Killer cell lectin like receptor G1	Q24781446	C-type lectin fold
Q21108811	Killer cell lectin like receptor G1	Q24785714	C-type lectin-like/link domain superfamily
Q21108813	Killer cell lectin like receptor F1	Q24781446	C-type lectin fold
Q21108813	Killer cell lectin like receptor F1	Q24785714	C-type lectin-like/link domain superfamily
Q21108815	Solute carrier family 22 member 23	Q24741301	Major facilitator,  sugar transporter-like
Q21108815	Solute carrier family 22 member 23	Q70479817	Organic Cation Transporter
Q21108816	Putative keratin-87 protein	Q24773036	Keratin, type II
Q21108817	Keratin associated protein 9-7	Q24780786	Keratin-associated protein
Q21108818	Keratin associated protein 9-6	Q24780786	Keratin-associated protein
Q21097139	Aldehyde dehydrogenase 3 family member A1	Q24723376	Aldehyde/histidinol dehydrogenase
Q21097139	Aldehyde dehydrogenase 3 family member A1	Q24786891	Aldehyde dehydrogenase NAD(P)-dependent
Q21097139	Aldehyde dehydrogenase 3 family member A1	Q24787334	Aldehyde dehydrogenase, N-terminal
Q21097139	Aldehyde dehydrogenase 3 family member A1	Q54452487	Aldehyde dehydrogenase, C-terminal
Q21097140	Aldehyde dehydrogenase 3 family member B1	Q24723376	Aldehyde/histidinol dehydrogenase
Q21097140	Aldehyde dehydrogenase 3 family member B1	Q24786891	Aldehyde dehydrogenase NAD(P)-dependent
Q21097140	Aldehyde dehydrogenase 3 family member B1	Q24787334	Aldehyde dehydrogenase, N-terminal
Q21097140	Aldehyde dehydrogenase 3 family member B1	Q54452487	Aldehyde dehydrogenase, C-terminal
Q21097141	Aldehyde dehydrogenase 3 family member B2	Q24723376	Aldehyde/histidinol dehydrogenase
Q21097141	Aldehyde dehydrogenase 3 family member B2	Q24787334	Aldehyde dehydrogenase, N-terminal
Q21097141	Aldehyde dehydrogenase 3 family member B2	Q54452487	Aldehyde dehydrogenase, C-terminal
Q21097146	Aldehyde dehydrogenase 9 family member A1	Q24723376	Aldehyde/histidinol dehydrogenase
Q21097146	Aldehyde dehydrogenase 9 family member A1	Q24787334	Aldehyde dehydrogenase, N-terminal
Q21097146	Aldehyde dehydrogenase 9 family member A1	Q54452487	Aldehyde dehydrogenase, C-terminal
Q21097150	Aldehyde dehydrogenase 7 family member A1	Q24723376	Aldehyde/histidinol dehydrogenase
Q21097150	Aldehyde dehydrogenase 7 family member A1	Q24787334	Aldehyde dehydrogenase, N-terminal
Q21097150	Aldehyde dehydrogenase 7 family member A1	Q54452487	Aldehyde dehydrogenase, C-terminal
Q21097156	Aldehyde dehydrogenase 3 family member A2	Q24723376	Aldehyde/histidinol dehydrogenase
Q21097156	Aldehyde dehydrogenase 3 family member A2	Q24786891	Aldehyde dehydrogenase NAD(P)-dependent
Q21097156	Aldehyde dehydrogenase 3 family member A2	Q24787334	Aldehyde dehydrogenase, N-terminal
Q21097156	Aldehyde dehydrogenase 3 family member A2	Q54452487	Aldehyde dehydrogenase, C-terminal
Q21097157	T cell leukemia/lymphoma 1A	Q24780102	TCL1/MTCP1
Q21097157	T cell leukemia/lymphoma 1A	Q41797772	TCL1/MTCP1 superfamily
Q21097164	Epidermal growth factor receptor pathway substrate 8	Q24769151	Epidermal growth factor receptor kinase substrate 8
Q21097164	Epidermal growth factor receptor pathway substrate 8	Q24786013	PH-like domain superfamily
Q21097164	Epidermal growth factor receptor pathway substrate 8	Q41797170	SH3-like domain superfamily
Q21097167	Glutamic--pyruvic transaminase 2	Q24768592	Pyridoxal phosphate-dependent transferase, major domain
Q21097167	Glutamic--pyruvic transaminase 2	Q24781248	Pyridoxal phosphate-dependent transferase
Q21097167	Glutamic--pyruvic transaminase 2	Q24781489	Pyridoxal phosphate-dependent transferase domain 1
Q21097169	Aldehyde dehydrogenase 8 family member A1	Q24723376	Aldehyde/histidinol dehydrogenase
Q21097169	Aldehyde dehydrogenase 8 family member A1	Q24787334	Aldehyde dehydrogenase, N-terminal
Q21097169	Aldehyde dehydrogenase 8 family member A1	Q54452487	Aldehyde dehydrogenase, C-terminal
Q21097172	Amylase alpha 2B	Q375795	Glycoside hydrolase superfamily
Q21097172	Amylase alpha 2B	Q24727134	Alpha amylase
Q21097172	Amylase alpha 2B	Q54451255	Glycosyl hydrolase, all-beta
Q21097173	Mucin 7, secreted	Q24780104	Mucin-7
Q21097174	Anomalous homeobox	Q24769639	Homeobox-like domain superfamily
Q21097177	Phosphoinositide-3-kinase regulatory subunit 2	Q24742062	Rho GTPase activation protein
Q21097177	Phosphoinositide-3-kinase regulatory subunit 2	Q24768660	PI3K p85/p55 subunit
Q21097177	Phosphoinositide-3-kinase regulatory subunit 2	Q41797170	SH3-like domain superfamily
Q21097177	Phosphoinositide-3-kinase regulatory subunit 2	Q41797956	SH2 domain superfamily
Q21097179	SH2 domain containing 1B	Q41797956	SH2 domain superfamily
Q21097181	Inositol polyphosphate phosphatase like 1	Q24720368	Sterile alpha motif/pointed domain superfamily
Q21097181	Inositol polyphosphate phosphatase like 1	Q41797791	Endonuclease/exonuclease/phosphatase superfamily
Q21097181	Inositol polyphosphate phosphatase like 1	Q41797956	SH2 domain superfamily
Q21097182	Angiopoietin like 7	Q41797193	Fibrinogen-like, C-terminal
Q21097188	Forkhead box H1	Q41797502	Winged helix-like DNA-binding domain superfamily
Q21097188	Forkhead box H1	Q41797505	Winged helix DNA-binding domain superfamily
Q21097192	Lysine acetyltransferase 7	Q24771060	Acyl-CoA N-acyltransferase
Q21097192	Lysine acetyltransferase 7	Q41797197	Zinc finger, C2HC-type superfamily
Q21097192	Lysine acetyltransferase 7	Q41797502	Winged helix-like DNA-binding domain superfamily
Q21097193	Angiopoietin like 1	Q41797193	Fibrinogen-like, C-terminal
Q21097198	Nuclear receptor binding SET domain protein 2	Q24719950	Zinc finger, FYVE/PHD-type
Q21097198	Nuclear receptor binding SET domain protein 2	Q24786519	Zinc finger, RING/FYVE/PHD-type
Q21097198	Nuclear receptor binding SET domain protein 2	Q41798006	High mobility group box domain superfamily
Q21097215	FES proto-oncogene, tyrosine kinase	Q24725945	Tyrosine-protein kinase, Fes/Fps type
Q21097215	FES proto-oncogene, tyrosine kinase	Q24726164	Protein kinase-like domain superfamily
Q21097215	FES proto-oncogene, tyrosine kinase	Q24785855	AH/BAR domain superfamily
Q21097215	FES proto-oncogene, tyrosine kinase	Q41797956	SH2 domain superfamily
Q21097216	YES proto-oncogene 1, Src family tyrosine kinase	Q24726164	Protein kinase-like domain superfamily
Q21097216	YES proto-oncogene 1, Src family tyrosine kinase	Q41797170	SH3-like domain superfamily
Q21097216	YES proto-oncogene 1, Src family tyrosine kinase	Q41797956	SH2 domain superfamily
Q21097216	YES proto-oncogene 1, Src family tyrosine kinase	Q50261758	Src family kinases (SFKs)
Q21097222	FGR proto-oncogene, Src family tyrosine kinase	Q24726164	Protein kinase-like domain superfamily
Q21097222	FGR proto-oncogene, Src family tyrosine kinase	Q41797170	SH3-like domain superfamily
Q21097222	FGR proto-oncogene, Src family tyrosine kinase	Q41797956	SH2 domain superfamily
Q21097222	FGR proto-oncogene, Src family tyrosine kinase	Q50261758	Src family kinases (SFKs)
Q21097223	ETS transcription factor ERG	Q24720368	Sterile alpha motif/pointed domain superfamily
Q21097223	ETS transcription factor ERG	Q41797502	Winged helix-like DNA-binding domain superfamily
Q21097223	ETS transcription factor ERG	Q41797505	Winged helix DNA-binding domain superfamily
Q21097227	Ankyrin 1	Q24776395	Death-like domain superfamily
Q21097227	Ankyrin 1	Q41797869	Ankyrin repeat-containing domain superfamily
Q21097227	Ankyrin 1	Q67141865	auxiliary transport protein
Q21097230	Phospholipase C gamma 2	Q24740346	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2
Q21097230	Phospholipase C gamma 2	Q24742069	EF-hand domain pair
Q21097230	Phospholipase C gamma 2	Q24786013	PH-like domain superfamily
Q21097230	Phospholipase C gamma 2	Q24788323	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily
Q21097230	Phospholipase C gamma 2	Q41797043	C2 domain superfamily
Q21097230	Phospholipase C gamma 2	Q41797170	SH3-like domain superfamily
Q21097230	Phospholipase C gamma 2	Q41797956	SH2 domain superfamily
Q21097231	JunD proto-oncogene, AP-1 transcription factor subunit	Q24778311	Transcription factor, Skn-1-like, DNA-binding domain superfamily
Q21097231	JunD proto-oncogene, AP-1 transcription factor subunit	Q24782032	Transcription factor JunD
Q21097233	Integrin subunit beta 5	Q24777442	Integrin beta-5 subunit
Q21097233	Integrin subunit beta 5	Q24780555	Integrin domain superfamily
Q21097233	Integrin subunit beta 5	Q41797466	Integrin beta tail domain superfamily
Q21097233	Integrin subunit beta 5	Q41797571	von Willebrand factor A-like domain superfamily
